CODCAR;CODVIA;NOMCAR
8700;CA;A
15;CA;A.CREUS 'LO PACHECO'
8590;CA;ABAT ESCARRE
5620;CA;ACACIA
20;CA;ACADEMIA
2930;CA;AGELET I GARRIGA
40;CA;AGER
25;CA;AGRAMUNT
55;CA;AGUSTI DURAN I SANPERE
85;PG;AGUSTI DURAN I SANPERE
50;CA;AGUSTINS
75;PL;AIGUA
45;CA;AIGUES TORTES
53;AV;ALACANT
70;CA;ALAMUS
60;CA;ALANDIR
8852;CA;ALBAGES
4421;CA;ALBAREDA - LLIVIA
5530;AV;ALBARES
480;PD;ALBARES
5180;CA;ALBERT COMA I ESTADELLA
5225;CA;ALBERT PORQUERAS
90;CA;ALCALDE COSTA
95;JA;ALCALDE ESTADELLA
100;CA;ALCALDE FUSTER
110;CA;ALCALDE MESTRE
120;PQ;ALCALDE PONS
130;AV;ALCALDE PORQUERAS
140;AV;ALCALDE PUJOL
160;AV;ALCALDE ROVIRA ROURE
170;CA;ALCALDE SOL
1950;CA;ALCALDE VIVES
1955;CA;ALCANO
5785;CA;ALCARRAS
5610;CA;ALENTORN
8935;CA;ALFARRAS
190;CA;ALFES
200;CA;ALFONS II
2200;CA;ALFRED PEREÑA
210;CA;ALGERRI
215;CA;ALGUAIRE
225;CA;ALMACELLES
5725;CA;ALMENAR
245;CA;ALMERIA
221;CA;ALMIRALL FOLCH
230;CA;ALMODI VELL
255;PL;ALMUDEFAR - LLIVIA
240;PD;ALPICAT
260;CA;ALSAMORA
7630;CA;ALTA - SUCHS
2240;CA;AMBAIXADOR ESPENS
270;CA;AMICS DE LLEIDA
271;PL;AMICS DE LLEIDA
265;CA;AMICS DEL FFCC
272;PL;AMISTAT
275;AV;AMPOSTA
285;CA;AMSTERDAM
290;CA;ANASTASI PINOS
2085;PL;ANDALUCIA
2090;CA;ANDREU D'ESPENS
2490;CA;ANETO
295;CA;ANGEL MONCUSI
440;CA;ANOIA
305;CA;ANSELM CHARLES
300;CA;ANSELM CLAVE
8605;CA;ANTIC CAMI DEL MURRI
310;CA;ANTONI AGUSTI
315;CA;ANTONI BERGOS I MASSO
325;CA;ANTONI BLAVIA
335;CA;ANTONI CANTANO
5125;CA;ANTONI GUIX I RIBELLES
320;CA;ANTONI SOLE
4422;CA;ANTONI VILAPLANA - LLIVIA
330;CA;APOSTOL SANT JAUME
340;RA;ARAGO
6345;CA;ARAGO - RAIMAT
350;CA;ARAJOL
365;CA;ARBECA
360;CA;ARBOLO
8615;CA;ARBORETUM
380;CA;ARC DEL PONT
385;CA;ARGENTINA
390;CA;ARIBAU
395;PL;ARMATS DE LA SANG
400;CA;ARNALD DE SOLSONA
510;CA;ARQUITECTE BERGOS
520;CA;ARQUITECTE CAMPMANY
530;CA;ARQUITECTE CASES
535;CA;ARQUITECTE CELLES
405;CA;ARQUITECTE DOMENECH I TORRES
505;CA;ARQUITECTE FLORENSA
420;CA;ARQUITECTE GAUDI
500;CA;ARQUITECTE GOMA
550;CA;ARQUITECTE IGNASI MIQUEL
525;CA;ARQUITECTE LAMARCA
415;CA;ARQUITECTE MORERA I GATELL
515;CA;ARQUITECTE PORQUERAS
540;CA;ARQUITECTE VILLALONGA
430;AV;ARTESA
445;CA;ARTUR MOR
455;CA;ARTUR VIVES
7233;CA;ASPA
450;CA;ASSALT
470;CA;ASSUMPCIO
460;PD;ASTO
8863;CA;ASTURIES
5235;CA;AUGUST FONT
8205;AV;AURELIA PIJOAN
8625;PL;AUREMBIAIX D'URGELL
5625;CA;AVET
3750;GR;AVINGUDA DE MADRID
8701;CA;B
580;CA;BAFART
590;CA;BAIXADA DE L'AUDIENCIA
1190;CA;BAIXADA DE LA TRINITAT
5715;CA;BALADRE
595;AV;BALAFIA
600;PD;BALAFIA
605;PL;BALAFIA
610;CA;BALAGUER
635;ZO;BALCO DELS CASTELLERS
5185;CA;BALDOMER GILI I ROIG
630;CA;BALLESTER
620;AV;BALMES
2910;GL;BALTASAR GRACIAN
640;CA;BARBASTRO
650;AV;BARCELONA
655;CT;BARCELONA
656;PL;BARCELONA
680;CA;BARO D'EROLES
670;CA;BARO DE CASA FLEIX
690;CA;BARO DE MAIALS
695;PG;BARQUES DEL TOFOL
4405;PL;BAULIES
1310;CA;BEAT FRANCESC CASTELLO ALEU
700;CA;BEATA JORNET
710;CA;BELLAVISTA
725;CA;BENABARRE
740;CA;BENVINGUDA
730;CA;BERENGUER PRENAFETA
4280;CA;BICIBERRI
750;CA;BINEFAR
5390;CA;BISBE
5400;CA;BISBE GALINDO
5420;CA;BISBE IRURITA
5430;CA;BISBE MESSEGUER
5440;CA;BISBE RUANO
